Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-30,2.880000114440918,3.4800000190734863,2.759999990463257,3.119999885559082,1634225,0.0,0.0
2019-05-01,3.119999885559082,3.240000009536743,2.759999990463257,2.880000114440918,683692,0.0,0.0
2019-05-02,2.880000114440918,2.880000114440918,2.640000104904175,2.759999990463257,319450,0.0,0.0
2019-05-03,2.880000114440918,3.0,2.640000104904175,2.880000114440918,544042,0.0,0.0
2019-05-06,2.880000114440918,2.880000114440918,2.759999990463257,2.759999990463257,383933,0.0,0.0
2019-05-07,2.759999990463257,2.759999990463257,2.640000104904175,2.640000104904175,327175,0.0,0.0
2019-05-08,2.640000104904175,2.759999990463257,2.4000000953674316,2.4000000953674316,747317,0.0,0.0
2019-05-09,2.109999895095825,2.200000047683716,1.600000023841858,1.6399999856948853,2682400,0.0,0.08333333333333333
2019-05-10,1.6399999856948853,1.7999999523162842,1.6299999952316284,1.7000000476837158,1460200,0.0,0.0
2019-05-13,1.75,1.7799999713897705,1.5,1.5099999904632568,1483600,0.0,0.0
